id,knownName,gender,wikipedia,wikidata,acronym,birth_date,birth_cityNow,birth_countryNow,birth_continent,birth_country_latitude,birth_country_longitude,death_date,death_cityNow,death_countryNow,death_continent,death_country_latitude,death_country_longitude,awardYear,category,prizeStatus,prizeAmount,affiliations,birth_country_count
745,A. Michael Spence,male,https://en.wikipedia.org/wiki/Michael_Spence,https://www.wikidata.org/wiki/Q157245,,1943-00-00,"Montclair, NJ",USA,North America,39.828175,-98.5795,,,,,,,2001,Economic Sciences,received,10000000,Stanford University,297
102,Aage N. Bohr,male,https://en.wikipedia.org/wiki/Aage_Bohr,https://www.wikidata.org/wiki/Q103854,,1922-06-19,Copenhagen,Denmark,Europe,56,10,2009-09-08,Copenhagen,Denmark,Europe,56,10,1975,Physics,received,630000,Niels Bohr Institute,12
779,Aaron Ciechanover,male,https://en.wikipedia.org/wiki/Aaron_Ciechanover,https://www.wikidata.org/wiki/Q233205,,1947-10-01,Haifa,Israel,Asia,31,35,,,,,,,2004,Chemistry,received,10000000,Technion - Israel Institute of Technology,6
259,Aaron Klug,male,https://en.wikipedia.org/wiki/Aaron_Klug,https://www.wikidata.org/wiki/Q190626,,1926-08-11,Zelvas,Lithuania,Europe,55.2,24,2018-11-20,,,,,,1982,Chemistry,received,1150000,MRC Laboratory of Molecular Biology,3
1004,Abdulrazak Gurnah,male,https://en.wikipedia.org/wiki/Abdulrazak_Gurnah,https://www.wikidata.org/wiki/Q317877,,1948-00-00,,,,,,,,,,,,2021,Literature,received,10000000,,
114,Abdus Salam,male,https://en.wikipedia.org/wiki/Abdus_Salam,https://www.wikidata.org/wiki/Q28189,,1926-01-29,Jhang Maghiāna,Pakistan,Asia,30,71,1996-11-21,Oxford,United Kingdom,Europe,54.6,-2,1979,Physics,received,800000,International Centre for Theoretical Physics,3
982,Abhijit Banerjee,male,https://en.wikipedia.org/wiki/Abhijit_Banerjee,https://www.wikidata.org/wiki/Q320578,,1961-02-21,Mumbai,India,Asia,22.8,83,,,,,,,2019,Economic Sciences,received,9000000,Massachusetts Institute of Technology (MIT),9
981,Abiy Ahmed Ali,male,https://en.wikipedia.org/wiki/Abiy_Ahmed,https://www.wikidata.org/wiki/Q50365049,,1976-08-15,Beshasha,Ethiopia,Africa,9,40,,,,,,,2019,Peace,received,9000000,,1
843,Ada E. Yonath,female,https://en.wikipedia.org/wiki/Ada_Yonath,https://www.wikidata.org/wiki/Q7426,,1939-06-22,Jerusalem,Israel,Asia,31,35,,,,,,,2009,Chemistry,received,10000000,Weizmann Institute of Science,6
866,Adam G. Riess,male,https://en.wikipedia.org/wiki/Adam_Riess,https://www.wikidata.org/wiki/Q106454,,1969-12-16,"Washington, D.C.",USA,North America,39.828175,-98.5795,,,,,,,2011,Physics,received,10000000,Johns Hopkins University,297
199,Adolf Butenandt,male,https://en.wikipedia.org/wiki/Adolf_Butenandt,https://www.wikidata.org/wiki/Q5327,,1903-03-24,Bremerhaven-Lehe,Germany,Europe,51,10,1995-01-18,Munich,Germany,Europe,51,10,1939,Chemistry,received,148822,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,84
164,Adolf von Baeyer,male,https://en.wikipedia.org/wiki/Adolf_von_Baeyer,https://www.wikidata.org/wiki/Q57078,,1835-10-31,Berlin,Germany,Europe,51,10,1917-08-20,Starnberg,Germany,Europe,51,10,1905,Chemistry,received,138089,Munich University,84
185,Adolf Windaus,male,https://en.wikipedia.org/wiki/Adolf_Otto_Reinhold_Windaus,https://www.wikidata.org/wiki/Q77142,,1876-12-25,Berlin,Germany,Europe,51,10,1959-06-09,Göttingen,Germany,Europe,51,10,1928,Chemistry,received,156939,Goettingen University,84
541,Adolfo Pérez Esquivel,male,https://en.wikipedia.org/wiki/Adolfo_Pérez_Esquivel,https://www.wikidata.org/wiki/Q206505,,1931-11-26,Buenos Aires,Argentina,South America,-34,-64,,,,,,,1980,Peace,received,880000,,4
292,Ahmed Zewail,male,https://en.wikipedia.org/wiki/Ahmed_Zewail,https://www.wikidata.org/wiki/Q106624,,1946-02-26,Damanhur,Egypt,Africa,27,29,2016-08-02,"Pasadena, CA",USA,North America,39.828175,-98.5795,1999,Chemistry,received,7900000,California Institute of Technology (Caltech),6
853,Akira Suzuki,male,https://en.wikipedia.org/wiki/Akira_Suzuki_(chemist),https://www.wikidata.org/wiki/Q105949,,1930-09-12,Mukawa,Japan,Asia,35,136,,,,,,,2010,Chemistry,received,10000000,Hokkaido University,28
978,Akira Yoshino,male,https://en.wikipedia.org/wiki/Akira_Yoshino,https://www.wikidata.org/wiki/Q4701206,,1948-01-30,Suita,Japan,Asia,35,136,,,,,,,2019,Chemistry,received,9000000,Asahi Kasei Corporation,28
819,Al Gore,male,https://en.wikipedia.org/wiki/Al_Gore,https://www.wikidata.org/wiki/Q19673,,1948-03-31,"Washington, D.C.",USA,North America,39.828175,-98.5795,,,,,,,2007,Peace,received,10000000,,297
1012,Alain Aspect,male,https://en.wikipedia.org/wiki/Alain_Aspect,https://www.wikidata.org/wiki/Q364997,,1947-06-15,Agen,France,Europe,47,2,,,,,,,2022,Physics,received,10000000,Institut d’Optique Graduate School – Université Paris-Saclay,61
729,Alan Heeger,male,https://en.wikipedia.org/wiki/Alan_J._Heeger,https://www.wikidata.org/wiki/Q106751,,1936-01-22,"Sioux City, IA",USA,North America,39.828175,-98.5795,,,,,,,2000,Chemistry,received,9000000,University of California,297
376,Alan Hodgkin,male,https://en.wikipedia.org/wiki/Alan_Lloyd_Hodgkin,https://www.wikidata.org/wiki/Q193650,,1914-02-05,Banbury,United Kingdom,Europe,54.6,-2,1998-12-20,Cambridge,United Kingdom,Europe,54.6,-2,1963,Physiology or Medicine,received,265000,University of Cambridge,93
730,Alan MacDiarmid,male,https://en.wikipedia.org/wiki/Alan_MacDiarmid,https://www.wikidata.org/wiki/Q110942,,1927-04-14,Masterton,New Zealand,Oceania,-41.2,174,2007-02-07,"Drexel Hill, PA",USA,North America,39.828175,-98.5795,2000,Chemistry,received,9000000,University of Pennsylvania,3
11,Albert A. Michelson,male,https://en.wikipedia.org/wiki/Albert_Abraham_Michelson,https://www.wikidata.org/wiki/Q127234,,1852-12-19,Strzelno,Poland,Europe,52,19,1931-05-09,"Pasadena, CA",USA,North America,39.828175,-98.5795,1907,Physics,received,138796,University of Chicago,29
628,Albert Camus,male,https://en.wikipedia.org/wiki/Albert_Camus,https://www.wikidata.org/wiki/Q34670,,1913-11-07,Mondovi,Algeria,Africa,28,1,1960-01-04,Sens,France,Europe,47,2,1957,Literature,received,208629,,2
403,Albert Claude,male,https://en.wikipedia.org/wiki/Albert_Claude,https://www.wikidata.org/wiki/Q233943,,1898-08-24,Longlier,Belgium,Europe,50.641111,4.668056,1983-05-22,Brussels,Belgium,Europe,50.641111,4.668056,1974,Physiology or Medicine,received,550000,Université Catholique de Louvain,9
26,Albert Einstein,male,https://en.wikipedia.org/wiki/Albert_Einstein,https://www.wikidata.org/wiki/Q937,,1879-03-14,Ulm,Germany,Europe,51,10,1955-04-18,"Princeton, NJ",USA,North America,39.828175,-98.5795,1921,Physics,received,121573,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,84
814,Albert Fert,male,https://en.wikipedia.org/wiki/Albert_Fert,https://www.wikidata.org/wiki/Q153219,,1938-03-07,Carcassonne,France,Europe,47,2,,,,,,,2007,Physics,received,10000000,Universit&eacute; Paris-Sud,61
465,Albert Gobat,male,https://en.wikipedia.org/wiki/Charles_Albert_Gobat,https://www.wikidata.org/wiki/Q179458,,1843-05-21,Tramelan,Switzerland,Europe,46.798562,8.231973,1914-03-16,Bern,Switzerland,Europe,46.798562,8.231973,1902,Peace,received,141847,,19
519,Albert Lutuli,male,https://en.wikipedia.org/wiki/Albert_Lutuli,https://www.wikidata.org/wiki/Q212955,,1898-00-00,Bulawayo,Zimbabwe,Africa,-19,30,1967-07-21,Stanger,South Africa,Africa,-29,24,1960,Peace,received,225987,,1
513,Albert Schweitzer,male,https://en.wikipedia.org/wiki/Albert_Schweitzer,https://www.wikidata.org/wiki/Q49325,,1875-01-14,Kaysersberg,France,Europe,47,2,1965-09-04,Lambaréné,Gabon,Africa,-1,12,1952,Peace,received,171135,,61
332,Albert Szent-Györgyi,male,https://en.wikipedia.org/wiki/Albert_Szent-Györgyi,https://www.wikidata.org/wiki/Q180468,,1893-09-16,Budapest,Hungary,Europe,47,19,1986-10-22,"Woods Hole, MA",USA,North America,39.828175,-98.5795,1937,Physiology or Medicine,received,158463,Szeged University,11
304,Albrecht Kossel,male,https://en.wikipedia.org/wiki/Albrecht_Kossel,https://www.wikidata.org/wiki/Q57128,,1853-09-16,Rostock,Germany,Europe,51,10,1927-07-05,Heidelberg,Germany,Europe,51,10,1910,Physiology or Medicine,received,140703,University of Heidelberg,84
83,Aleksandr M. Prokhorov,male,https://en.wikipedia.org/wiki/Alexander_Prokhorov,https://www.wikidata.org/wiki/Q83552,,1916-07-11,Atherton,Australia,Oceania,-28,137,2002-01-08,Moscow,Russia,Europe,66.416667,94.25,1964,Physics,received,273000,P.N. Lebedev Physical Institute,10
644,Aleksandr Solzhenitsyn,male,https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn,https://www.wikidata.org/wiki/Q34474,,1918-12-11,Kislovodsk,Russia,Europe,66.416667,94.25,2008-08-03,Troitse-Lykovo,Russia,Europe,66.416667,94.25,1970,Literature,received,400000,,29
1031,Aleksey Yekimov,male,https://en.wikipedia.org/wiki/Alexei_Ekimov,https://www.wikidata.org/wiki/Q1547368,,1945-00-00,St. Petersburg,Russia,Europe,66.416667,94.25,,,,,,,2023,Chemistry,received,11000000,Nanocrystals Technology Inc.,29
1018,Ales Bialiatski,male,https://en.wikipedia.org/wiki/Ales_Bialiatski,https://www.wikidata.org/wiki/Q118263,,1962-09-25,"Vyartsilya, Karelia",Russia,Europe,66.416667,94.25,,,,,,,2022,Peace,received,10000000,,29
